Ref,Theta,Error,Esfuerzo
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
6.280000,6.150000,0.130000,0.070000
0.520000,6.150000,-5.620000,-2.810000
0.520000,6.110000,-5.590000,-2.790000
0.520000,5.990000,-5.460000,-2.730000
0.520000,5.780000,-5.250000,-2.630000
0.520000,5.500000,-4.980000,-2.490000
0.520000,5.170000,-4.650000,-2.320000
0.520000,4.800000,-4.270000,-2.140000
0.520000,4.390000,-3.870000,-1.930000
0.520000,3.970000,-3.450000,-1.720000
0.520000,3.530000,-3.010000,-1.510000
0.520000,3.090000,-2.570000,-1.280000
0.520000,2.650000,-2.120000,-1.060000
0.520000,2.210000,-1.680000,-0.840000
0.520000,1.770000,-1.250000,-0.620000
0.520000,1.350000,-0.830000,-0.410000
0.520000,0.940000,-0.420000,-0.210000
0.520000,0.550000,-0.030000,-0.010000
0.520000,0.190000,0.330000,0.170000
0.520000,-0.130000,0.650000,0.330000
0.520000,-0.400000,0.930000,0.460000
0.520000,-0.640000,1.160000,0.580000
0.520000,-0.820000,1.340000,0.670000
0.520000,-0.960000,1.480000,0.740000
0.520000,-1.060000,1.580000,0.790000
0.520000,-1.110000,1.630000,0.820000
0.520000,-1.130000,1.650000,0.830000
0.520000,-1.120000,1.640000,0.820000
0.520000,-1.080000,1.600000,0.800000
0.520000,-1.020000,1.540000,0.770000
0.520000,-0.940000,1.460000,0.730000
0.520000,-0.840000,1.360000,0.680000
0.520000,-0.730000,1.250000,0.630000
0.520000,-0.610000,1.130000,0.570000
0.520000,-0.480000,1.010000,0.500000
0.520000,-0.360000,0.880000,0.440000
0.520000,-0.230000,0.750000,0.380000
0.520000,-0.100000,0.620000,0.310000
0.520000,0.030000,0.500000,0.250000
0.520000,0.150000,0.370000,0.190000
0.520000,0.280000,0.250000,0.120000
0.520000,0.390000,0.130000,0.070000
0.520000,0.500000,0.020000,0.010000
0.520000,0.600000,-0.070000,-0.040000
0.520000,0.680000,-0.160000,-0.080000
0.520000,0.760000,-0.230000,-0.120000
0.520000,0.820000,-0.300000,-0.150000
0.520000,0.870000,-0.350000,-0.180000
0.520000,0.920000,-0.400000,-0.200000
0.520000,0.960000,-0.430000,-0.220000
0.520000,0.980000,-0.460000,-0.230000
0.520000,1.000000,-0.470000,-0.240000
0.520000,1.000000,-0.480000,-0.240000
0.520000,1.000000,-0.480000,-0.240000
0.520000,0.990000,-0.470000,-0.230000
0.520000,0.980000,-0.450000,-0.230000
0.520000,0.960000,-0.430000,-0.220000
0.520000,0.940000,-0.410000,-0.210000
0.520000,0.910000,-0.390000,-0.190000
0.520000,0.880000,-0.360000,-0.180000
0.520000,0.860000,-0.330000,-0.170000
0.520000,0.830000,-0.310000,-0.150000
0.520000,0.810000,-0.280000,-0.140000
0.520000,0.790000,-0.260000,-0.130000
0.520000,0.770000,-0.250000,-0.120000
0.520000,0.750000,-0.230000,-0.120000
0.520000,0.740000,-0.220000,-0.110000
0.520000,0.730000,-0.210000,-0.100000
0.520000,0.730000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
0.520000,0.720000,-0.200000,-0.100000
